intern,DatasetID,Warning Message,Error Message,has_visualization,No papers linked - hard to find other data,"Multiple Papers linked, none match NEMAR",HED anotation,Participants,Age range,Dataset size,Number of files,Number of sessions, Scans/session,Type of subjects,Format,Modality,additional modality,EEG Modality,MEG Modality,iEEG modality,Has MRI,Has EOG,Has Behavioral,Has fMRi,Has EcOg,Has DBS,Has SMI,Has EMG,Has TMS,Has ECG,Has SEEG,Has VEOG,Has fNIRS,Has Blood Tests,Eye tracking,Other (put in name),EEG channels,10-20,MEG channels,ECG channels,Ecog channels,EMG channels,EOG channels,MEG REF channels,SEEG channel,Trigger,Misc Channels,Type of data,Modality of experiment,FOR FIGURE - modality of exp,Type of experiment,FOR FIGURE - type of exp,Tasks,Paper of Interest,BIDS version,First author state,Author country,Authors from multiple institutions,Authors from multiple institutions in different state/country,Published date,Uploaded by,Date last update,Dataset DOI,References and links,License,On Brainlife.org,Funding,Ethics Approvals,IRB
Bay,ds004457,n/a,,TRUE,,,No,5,13 - 46 ,10.9 GB,2751,1,1,implanted with stereo electroencephalography (sEEG) electrodes for epilepsy monitoring and had electrodes placed in the VTC,".tdat, .tidx, .tmet, .mefd, .segd, .timd",iEEG,"SEEG, ECG",,,X,,,,,,,,,,X,X,,,,,,21,10-20,,1,,,,,156,,,continious,intracranial electrical stimulation,Stimulation,basis profile curves (BPCs),Neuroimaging,"ccep task with annotations, ccep and movement task with annotations, downsampled",https://www.biorxiv.org/content/10.1101/2022.07.06.498994v1,v 1.9.9,Minnesota,United States,N,N,2023-05-17 20:25:49,Harvey Huang,,doi:10.18112/openneuro.ds004457.v1.0.2,https://doi.org/10.1101/2022.07.06.498994,CC0,FALSE,R01 MH122258 CRCNS: Processing speed in the human connectome across the lifespan ===NEMAR-SEP=== T32 GM065841: Medical Scientist Training Program at Mayo Clinic,"This research was performed in accordance with the Mayo Clinic Institutional Review Board (IRB #15-006530), which also authorizes sharing of the data. Each patient/representative voluntarily provided independent written informed consent/assent to participate in this study.",Yes
Bay,ds003710,n/a,,TRUE,,,No,13,4-12 months,0.011 TB,293,4,0,Infants ,".eeg, .vhdr, .vmrk",EEG,"saliva samples,  parental report and eye tracking.",X,,,,,,,,,,,,,,,,,X,"saliva samples,  parental report",32,10-20,,,,,,,,,,continious,"Visual, Auditory ",Multisensory,"epigentic,  brain signal variability",Neuroimaging,APPLESEED example,,v1.6.0,Virginia,United States,Y,Y,2021-07-12 19:38:41,Meghan Puglia,,doi:10.18112/openneuro.ds003710.v1.0.2,,CC0,TRUE,,"All parents provided written informed consent prior to the study, approved by the Leipzig University Ethics Committee.",Yes
Bay,ds003739,n/a,,TRUE,,,No,30,18 - 34 ,0.012 TB,965,4,0,healthy young adults,".fdt, .set",EEG,"EMG, EOG,  mediolateral motion capture marker trajectorie, body and head sway, ",X,,,,X,,,,,,X,,,,,,,,"mediolateral motion capture marker trajectorie, body and head sway, ",128,10-20,,,,10,3,,,,8,continious,sensorimotor: balance control,Motor,pertubation - visual field rotation and a mediolateral pull to one side ,Perception,mixed,,v1.6.0,Michigan,United States ,Y,Y,2021-07-23 0:06:01,Steven Peterson,,doi:10.18112/openneuro.ds003739.v1.0.3,https://doi.org/10.1016/j.neuroimage.2019.05.038 ===NEMAR-SEP=== https://doi.org/10.1523/ENEURO.0207-18.2018 ===NEMAR-SEP=== https://doi.org/10.1016/j.dib.2021.107635,CC0,TRUE,National Science Foundation (DGE 1256260) ===NEMAR-SEP=== Army Research Laboratory (W911NF-10-2-0022) ===NEMAR-SEP=== National Institutes of Health (R01 NS104772),University of Michigan Health Sciences and Behavioral Sciences Institutional Review Board,Yes
Bay,ds003751,n/a,,TRUE,,,No,40,19 - 26,0.005 TB,200,1,0,(assumed healthy) students at Indian Institute of Infor- mation Technology," .fdt, .set",EEG,"ECG, EMG,  subjective ratings-valence, arousal, dominance, liking, fa- miliarity, relevance and emotion category",X,,,,,,,,,,X,,X,,,,,,"subjective ratings-valence, arousal, dominance, liking, fa- miliarity, relevance and emotion category",128,other,2,1,,,,,,,,continous,"visual, audio",Multisensory,emotion ,Affect,Emotion,,1.4,Allahabad,India,N,N,2021-08-08 3:26:55,SUDHAKAR MISHRA,,doi:10.18112/openneuro.ds003751.v1.0.6,"Mishra, Sudhakar, Mohammad Asif, and Uma Shankar Tiwary. ""Dataset on Emotions using Naturalistic Stimuli (DENS)."" bioRxiv (2021). ===NEMAR-SEP=== Mishra, S., Asif, M., & Tiwary, U. S. (2021). Naturalistic paradigm reveals multi-component emotion dynamics in theta and beta bands using DENS dataset. bioRxiv, 2021-08.",CC0,TRUE,,"The Institutional Review Board approved this research at the Indian Institute of Information Technology, Allahabad. All participants provided written informed consent and were compensated for their time.",Yes
Bay,ds003753,n/a,,TRUE,,,No,25,18 - 27 ,0.005 TB,589,1,0,healthy," .fdt, .set",EEG,"image rating task, Vertical electrooculogram (VEOG)",X,,,,,,,,,,,,,,X,,,,image rating task,64,10-20,,,,,,,,,66,continous,visual,Visual,(reinforcement learning task) affect - Reward Positivity,Learning,ProbabilisticSelection,,1.1.1,California,United States,Y,Y,2021-09-29 17:02:08,James F Cavanagh,,10.18112/openneuro.ds003753.v1.1.0,pending,CC0,FALSE,1R01MH119382-01,The Institutional Review Board of the University of New Mexico approved the study protocol.,Yes
Bay,ds003754,n/a,,FALSE,,,No,44,1 - 35 ,0.018 TB,213,1,0,healthy ,".edf, .mat, .nii, .xlsx",iEEG,"SEEG, MRI, CT",,,X,X,,,,,,,,,,X,,,,,CT,120,10-20,,,,,,,,,,continious ,Brain Mapping,Other,consciousness states ,Neuroimaging,"ana2con, con2ana",,1.2,Beijing,China,Y,Y,2021-08-06 2:20:39,Sen Wan,,10.18112/openneuro.ds003754.v1.0.2,,CC0,FALSE,,,
Bay,ds003766,n/a,,FALSE,,,No,31,18 - 33,0.077 TB,1028,1,0,healthy college students ,.edf,EEG,"reaction times (RT), accuracy, and mouse trajectory",X,,,,,,,,,,,,,,,,,,"reaction times (RT), accuracy, and mouse trajectory",129,other,,,,,,,,,,continious ,Visual,Visual,binary decision making ,Decision-making,"foodchoice, imagechoice, wordchoice, resting",https://www.nature.com/articles/s41597-022-01538-5,1.6.0,Macau SAR,China,Y,Y,2021-08-19 13:50:18,const,,doi:10.18112/openneuro.ds003766.v2.0.3,"Chen, K., Wang, R., Huang, J., Gao, F., Yuan, Z., Qi, Y., & Wu, H. (2022). A resource for assessing dynamic binary choices in the adult brain using EEG and mouse-tracking. Scientific Data, 9(1), 416. https://doi.org/10.1038/s41597-022-01538-5",CC0,TRUE,,This study was performed in strict accordance with the Guidelines for Research Ethics of the University of Macau. The Institutional Review Board of the University has approved all procedures.,Yes
Bay,ds003768,n/a,,TRUE,,,No,33,n/a (22.1 +/- 3.1 years),0.093 TB,1344,1,8,healthy ,".eeg, .vhdr, .vmrk","EEG, MRI",fMRI,X,,,X,,,X,,,,,,,,,,,,,32,10-20,,,,,,,,,,continious ,Sleep,Sleep,"visual-motor adaptation task, open-close-eyes, resting ",Neuroimaging,"rest, sleep",,1.4.1,Pennsylvania,United States,Y,Y,2021-08-17 16:50:30,yameng gu,,doi:10.18112/openneuro.ds003768.v1.0.11,"An orderly sequence of autonomic and neural events at transient arousal changes, Yameng Gu, Feng Han, Lucas E. Sainburg, Margeaux M. Schade, Orfeu M. Buxton, Jeff H. Duyn, Xiao Liu, NeuroImage, 2022, https://doi.org/10.1016/j.neuroimage.2022.119720 ===NEMAR-SEP=== Simultaneous EEG and functional MRI data during rest and sleep from humans, Yameng Gu, Lucas E. Sainburg, Feng Han, Xiao Liu, Data in Brief, 2023, https://doi.org/10.1016/j.dib.2023.109059",CC0,TRUE,National Institutes of Health Pathway to Independence Award K99/R00 (5R00NS092996-03) ===NEMAR-SEP=== Brain Initiative Award (1RF1MH123247-01) ===NEMAR-SEP=== National Institutes of Health R01 Award (1R01NS113889-01A1),All subjects provided informed written consent and all the procedures were approved by the Institutional Review Board at the Pennsylvania State University. ,Yes
Bay,ds003774,n/a,,TRUE,,,No,20,n/a (22-28),0.011 TB,1685,12,12,healthy, .set,EEG,behavioral ,X,,,,,X,,,,,,,,,,,,,,129,other,,,,,,,,,,continious,audio,Auditory,familiarity & emotion (decoding songs) ,Affect,MusicListening,,1.1.1,Gujarat,India,Y,Y,2021-08-24 7:53:32,Krishna Miyapuram,,doi:10.18112/openneuro.ds003774.v1.0.2,,CC0,FALSE,"This research was funded by PlayPower Labs, USA",No,No
Bay,ds003775,n/a,,FALSE,,,No,111,17 - 71 ,0.005 TB,617,2,0,healthy,.edf,EEG,neuropsychological test scores ,X,,,,,X,,,,,,,,,,,,,,64,10-20,,,,,,,,,,continious,resting state (closed eyes) ,Resting State, non-invasive long-term potentiation-like stimulation,Neuroimaging,resteyesc,,1.6.0,Oslo,Norway,N,N,2021-08-25 12:12:25,Christoffer Hatlestad-Hall,,doi:10.18112/openneuro.ds003775.v1.2.1,,CC0,TRUE,,"The data collection was conducted in accordance with the Declaration of Helsinki, and informed consent was obtained from all participants. The procedures were approved by the Regional Ethics Committee of South-Eastern Norway (reference number: 2016/2003).",Yes
Bay,ds003800,n/a,,TRUE,,,No,13,,0 TB,118,1,0,Elderly Dementia,.set,EEG,n/a,X,,,,,,,,,,,,,,,,,,,19,10-20,,,,,,,,,,continious,Auditory,Auditory,gamma entrainment (improve AD symptoms),Clinical/Intervention,AuditoryGammaEntrainment,https://www.sciencedirect.com/science/article/pii/S2352340922000518,1.0.0,Tehran,Iran,N,N,2021-09-28 20:17:41,Mojtaba Lahijanian,,10.18112/openneuro.ds003800.v1.0.0,,CC0,FALSE,"This work was partially funded by the Cognitive Sciences & Technologies Council of Iran and by the grant G970736 from Sharif University of Technology, which covered the cost of data collection. The funders had no role in the study conceptualization and design, data collection and analysis, decision to publish, or preparation of the manuscript.",This study was approved by the Review Board of Tehran University of Medical Sciences (Approval ID: IR.TUMS.MEDICINE.REC.1398.524) and all participants provided informed consent before participating and were free to withdraw at any time.,Yes
Bay,ds003800,n/a,,TRUE,,,No,13,,0 TB,118,1,0,Elderly Dementia,.set,EEG,n/a,X,,,,,,,,,,,,,,,,,,,19,10-20,,,,,,,,,,continious,Auditory,Auditory,Data Collection (resting state potentials),Neuroimaging,Rest,,1.0.0,Tehran,Iran,N,N,2021-09-28 20:17:41,Mojtaba Lahijanian,,10.18112/openneuro.ds003800.v1.0.0,,CC0,FALSE,"This work was partially funded by the Cognitive Sciences & Technologies Council of Iran and by the grant G970736 from Sharif University of Technology, which covered the cost of data collection. The funders had no role in the study conceptualization and design, data collection and analysis, decision to publish, or preparation of the manuscript.",This study was approved by the Review Board of Tehran University of Medical Sciences (Approval ID: IR.TUMS.MEDICINE.REC.1398.524) and all participants provided informed consent before participating and were free to withdraw at any time.,Yes
Bay,ds003801,n/a,,TRUE,,,No,20,20 - 40,0.001 TB,165,1,0,healthy," .fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,21,10-20,,,,,,,,,,continious ,Auditory,Auditory,Attention/saliency ,Attention,NeuralTrackingToGo,https://iopscience-iop-org.ccl.idm.oclc.org/article/10.1088/1741-2552/ac42b5/pdf,v2.0,Oldenburg,Germany,Y,N,2021-11-15 12:45:01,Lisa Straetmans,,doi:10.18112/openneuro.ds003801.v1.0.0,article link follows,CC0,FALSE,,. The study was approved by the University of Oldenburg ethics committee.,Yes
Bay,ds003805,n/a,,FALSE,,,No,1,,0 TB,10,1,0,healthy,.set,EEG,n/a,X,,,,,,,,,,,,,,,,,,,19,10-20,,,,,,,,,,continious,"Auditory, visual, and audio-visual",Multisensory, gamma entrainment ,Neuroimaging,MultisensoryGammaEntrainment,,1.0.0,Tehran,Iran,N,N,2021-09-28 20:20:55,Mojtaba Lahijanian,,10.18112/openneuro.ds003805.v1.0.0,,CC0,FALSE,,This study was approved by the Review Board of Tehran University of Medical Science (Approval ID: IR.TUMS.MEDICINE.REC.1398.524) and all participants provided informed consent before participating and were free to withdraw at any time. ,Yes
Bay,ds003810,n/a,,FALSE,,,No,10,20 - 30 ,0 TB,158,1,5,healthy,.edf,EEG,EMG,X,,,,,,,,,,X,,,,,,,,,15,10-20,,,,,,,,,,continious,Visual/motor imagery,Motor,BCI ,Clinical/Intervention,"MIvsRestRUN2, MIvsRestRUN3, MIvsRestRUN1, MIvsRestRUN4, MIvsRestRUN0",,1.1.1,Santa Fe,Argentina,Y,Y,2021-09-20 13:44:22,María Paula Saavedra,,doi:10.18112/openneuro.ds003810.v2.0.2,https://www.sciencedirect.com/science/article/pii/S240584402030270X,CC0,FALSE,,"The experiment was approved in Feb. 2018 by the “Comité Asesor de Ética y Seguridad en el Trabajo Experimental” (CEySTE, CCT-CONICET, Santa Fe, Argentina)",Yes
Bay,ds003816,n/a,,FALSE,,,No,0,,0 GB,0,1,0,healthy long-term meditator (Buddhist monk practitioner),".eeg, .vhdr, .vmrk",EEG,"EEG, ECG, behavioral",X,,,,,X,,,,,,,X,,,,,,,127,10-20,,1,,,,,,,,continious,Meditation,Other,"Self-regulation (effect on brain, heart, and psychological measurements)",Affect,Love Kindness Meditation,,1.6,Hong Kong SAR,China,Y,Y,2021-09-25 10:34:29,Eliza R. Sun,,doi:10.18112/openneuro.ds003816.v1.0.2,,CC0,FALSE,Faculty Research Fund of Faculty of Education in HKU,"The University of Hong Kong Human Research Ethics Committee approved the project, Reference Number: EA210145.",Yes
Bay,ds003822,n/a,,TRUE,,,No,25,18 - 36 ,0.006 TB,259,1,0,healthy,".fdt, .set",EEG,"Vertical electrooc- ulogram (VEOG), behavioral",X,,,,,X,,,,,,,,,X,,,,,64,10-20,,,,,,,,,66,continious,Visual,Visual,(image rating task) affect - Reward Positivity,Affect,ProbabilisticSelection,,1.1.1,California,United States,Y,Y,2021-09-29 17:02:18,James F Cavanagh,,10.18112/openneuro.ds003822.v1.1.0,pending,CC0,FALSE,,The Institutional Review Board of the University of New Mexico approved the study protocol.,Yes
Bay,ds003825,n/a,,TRUE,,,No,50,17 - 30,0.044 TB,257,1,0,healthy,".eeg, .vhdr, .vmrk",EEG,n/a,X,,,,,,,,,,,,,,,,,,,63,10-20,,,,,,,,,,continous,visual,Visual,responses to images (Rapid serial visual presentation),Perception,rsvp,,1.0.2,Sydney,Australia,Y,Y,2021-10-01 3:34:07,Tijl Grootswagers,,doi:10.18112/openneuro.ds003825.v1.2.0,https://osf.io/hd6zk/ ===NEMAR-SEP=== https://doi.org/10.1038/s41597-021-01102-7,CC0,TRUE,ARC DP160101300 (TAC) ===NEMAR-SEP=== ARC DP200101787 (TAC) ===NEMAR-SEP=== ARC DE200101159 (AKR),The study was approved by the University of Sydney ethics committee. Informed consent was obtained from all participants at the start of the experiment.,Yes
Bay,ds003838,n/a,,TRUE,,,No,65,18 - 44 ,100.2 GB,947,1,0,healthy,.set,EEG,"ECG, photoplethysmography, pupillometry, and behavioral",X,,,,,X,,,,,,,X,,,,,,"photoplethysmography, pupillometry",63,10-20,,,,,,,,,,continous,audio,Auditory,memory,Memory,mixed,,1.1.1,Tübingen,Germany,Y,Y,2021-10-19 13:51:25,Yuri Pavlov,,doi:10.18112/openneuro.ds003838.v1.0.6,"Pavlov, Y. G., Kasanov, D., Kosachenko, A. I., Kotyusov, A. I., & Busch, N. A. (2022). Pupillometry and electroencephalography in the digit span task. Scientific Data, 9(1), 325. https://doi.org/10.1038/s41597-022-01414-2 ===NEMAR-SEP=== Pavlov, Y. G., Gashkova, A. S., Kasanov, D., Kosachenko, A. I., Kotyusov, A. I., & Kotchoubey, B. (2023). Task-evoked pulse wave amplitude tracks cognitive load. Scientific Reports, 13(1), 1–10. https://doi.org/10.1038/s41598-023-48917-5 ===NEMAR-SEP=== Kosachenko, A. I., Kasanov, D., Kotyusov, A. I., & Pavlov, Y. G. (2023). EEG and pupillometric signatures of working memory overload. Psychophysiology, n/a(n/a), e14275. https://doi.org/10.1111/psyp.14275",CC0,FALSE,,The experimental protocol was approved by the Ural Federal University ethics committee.,Yes
Bay,ds003844,n/a,,FALSE,,,No,6,,0.003 TB,435,18,0,intracranial monitoring followed by resective epilepsy surgery (seizure-free after surgery),".eeg, .vhdr, .vmrk",iEEG,"ECG, ECOG, SEEG",,,X,,,,,X,,,,,X,X,,,,,,,other,,1,26,,,,,,,continious,long term recording (clinical),Other,epilepsy ,Clinical/Intervention,task-acute,,Brain Imaging Data Structure v1.6.0,Utrecht,The Netherlands.,Y,Y,2021-10-16 12:00:01,Epilab UMCU,,10.18112/openneuro.ds003844.v1.0.3,articles and/or links,CC0,FALSE,Epi-Sign Project ===NEMAR-SEP=== Alexandre Suerman Stipendium 2015 ===NEMAR-SEP=== Epilepsiefonds #17-07,"For patients operated between January 2008 and December 2017, the medical research ethical committee waived the need to ask for informed consent, so those patients were directly included. Since January 2018, we explicitly ask patients informed consent to collect their data for research purposes.",Yes
Bay,ds003846,Channel.tsv files containing channel information are corrupted (wrong content in the wrong columns),,FALSE,,,No,19,18 - 34,0.011 TB,366,4,0,healthy,".eeg, .vhdr, .vmrk",EEG,EMS,X,,,,,,,,,,,,,,,,,,,64,other,,,,,,,,,,continious,virtual reality (VR) reach-to-object ,Multisensory,Prediction error,Decision-making,PredError,,n/a,Berlin,Germany,Y,Y,2021-10-20 8:50:55,Lukas Gehrke,,10.18112/openneuro.ds003846.v1.0.1,"Detecting Visuo-Haptic Mismatches in Virtual Reality using the Prediction Error Negativity of Event-Related Brain Potentials. Lukas Gehrke, Sezen Akman, Pedro Lopes, Albert Chen, Avinash Kumar Singh, Hsiang-Ting Chen, Chin-Teng Lin and Klaus Gramann | In Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems (CHI ’19). ACM, New York, NY, USA, Paper 427, 11 pages. DOI: https://doi.org/10.1145/3290605.3300657",CC0,FALSE,n/a,The study design was approved by the local ethics committee and all participants provided written informed consent prior to their participation.,Yes
Bay,ds003848,n/a,,FALSE,,,No,6,14 - 46 ,0.07 TB,184,1,21,intracranial monitoring followed by resective epilepsy surgery (seizure-free after surgery),".eeg, .nii, .vhdr, .vmrk","iEEG, MRI","ECG, ECOG, SEEG",,,X,X,,,,X,,,,,X,X,,,,,,,other,,1,64,2,,,,2,,continious,electrical stimulation,Stimulation,long term recording (clinical),Clinical/Intervention,"task-SPESclin, task-Sleep, task-sleep, task-Rest, task-slawtrans, task-CHOCS1",https://link.springer.com/article/10.1007/s12021-022-09567-6,Brain Imaging Data Structure Specification v1.6.0,Utrecht,The Netherlands.,Y,Y,2021-10-22 12:45:11,Epilab UMCU,,10.18112/openneuro.ds003848.v1.0.3,see HowToAcknowledge,CC0,TRUE,Epi-Sign Project ===NEMAR-SEP=== Alexandre Suerman Stipendium 2015 ===NEMAR-SEP=== EpilepsieNL #17-07,"For patients operated between January 2008 and December 2017, the medical research ethical committee waived the need to ask for informed consent, so those patients were directly included. Since January 2018, we explicitly ask patients informed consent to collect their data for research purposes.",Yes
Bay,ds003876,n/a,,FALSE,,,No,39,,0.005 TB,343,1,6,drug resistant epilepsy who underwent iEEG monitoring,.edf,iEEG,"ECoG, SEEG",,,X,,,,,X,,,,,,X,,,,,,,other,,,,,,,186,,,continious,monitoring,Other,epilepsy ,Clinical/Intervention,"interictal, interictalasleep, interictalawake",,1.6.0,Maryland,United States ,Y,Y,2022-08-04 18:02:09,Adam Li,,doi:10.18112/openneuro.ds003876.v1.0.2,https://www.nature.com/articles/s41593-021-00901-w ===NEMAR-SEP=== https://www.biorxiv.org/content/10.1101/2021.10.15.464594v1,CC0,FALSE,NIH T32 EB003383 ===NEMAR-SEP=== NSF GRFP (DGE-1746891) ===NEMAR-SEP=== ARCS Scholarship ===NEMAR-SEP=== Whitaker Fellowship ===NEMAR-SEP=== Chateaubriand Fellowship ===NEMAR-SEP=== NIH R21 NS103113 ===NEMAR-SEP=== US NSF Career Award 1055560 ===NEMAR-SEP=== Burroughs Well CASI Award 1007274,"IRBs at JHH, NIH, KUMC, UMF, CClinic",Yes
Bay,ds003885,n/a,,TRUE,,,No,24,18 - 26 ,0.05 TB,526,1,1,healthy college students ,".eeg, .vhdr, .vmrk",EEG,n/a,X,,,,,,,,,,,,,,,,,,,128,10-20,,,,,,,,,,continious,visual,Visual,perception (exp 1: animated - alive or not ),Perception,movement,,1.0.2,New South Wales,Australia,Y,N,2021-11-12 5:57:06,Sophia Shatek,,doi:10.18112/openneuro.ds003885.v1.0.8,,CC0,FALSE,ARC DP160101300 (TAC) ===NEMAR-SEP=== ARC DP200101787 (TAC),The study was approved by the University of Sydney Ethics Committee.,Yes
Bay,ds003887,n/a,,TRUE,,,No,24,18 - 26,0.049 TB,526,1,1,healthy college students ,".eeg, .vhdr, .vmrk",EEG,n/a,X,,,,,,,,,,,,,,,,,,,128,10-20,,,,,,,,,,continious,visual,Visual,perception (exp 2: moving objects),Perception,movement,,1.0.2,New South Wales,Australia,Y,N,2021-11-12 6:37:59,Sophia Shatek,,doi:10.18112/openneuro.ds003887.v1.2.3,,CC0,FALSE,ARC DP160101300 (TAC) ===NEMAR-SEP=== ARC DP200101787 (TAC),The study was approved by the University of Sydney Ethics Committee.,Yes
Bay,ds003922,Please use the checkmaxfilter option before processing the dataset. The reason this dataset does not have statistics is because it cannot be processed automatically (the checkmaxfilter option is not used for automated processing). See https://github.com/fieldtrip/fieldtrip/issues/2373 and https://github.com/fieldtrip/fieldtrip/issues/2372),,FALSE,,,No,13,,0.081 TB,674,1,12,healthy,.fif,"MEG, MRI",n/a,,X,,X,,,,,,,,,,,,,,,,,other,306,,,,,,,3,14,continious,audiovisual,Multisensory,causality judgment task and temporal order judgment task,Decision-making,"mcd, rest, noise",,1.6.0,Marseille,France,Y,Y,2022-05-02 14:15:02,Jacques Pesnot Lerousseau,,doi:10.18112/openneuro.ds003922.v1.0.1,"Pesnot Lerousseau, J., Parise, C., Ernst, MO., van Wassenhove, V. (2022). Multisensory correlation computations in the human brain identified by a time-resolved encoding model. *Nature Communications*. http://doi.org/10.1038/s41467-022-29687-6",CC0,TRUE,ERC-YStG-263584 ===NEMAR-SEP=== ANR-16-CE37-0004-04,"Local Ethics Committee on Human Research at NeuroSpin (Gif-sur-Yvette, France)",Yes
Bay,ds003944,n/a,,TRUE,,,No,82,12 - 35,0.007 TB,351,1,0,healthy and First Episode Psychosis (FEP) individuals,".eeg, .vhdr",EEG,"EMG, EOG, MISC, ECG, behavioral",X,,,,X,X,,,,,X,,X,,,,,,MISC,61,10-20,,1,,,1,,,,1,continous,resting state,Resting State,clinical (First Episode Psychosis vs. Control Resting Task),Clinical/Intervention,Rest,,v1.6.0,Pennsylvania,United States,Y,N,2022-01-24 19:05:25,Arnaud Delorme,,doi:10.18112/openneuro.ds003944.v1.0.1,"Phalen, H., Coffman, B.A., Ghuman, A., Sejdic, E. and Salisbury, D.F., 2020. Non-negative matrix factorization reveals resting-state cortical alpha network abnormalities in the first-episode schizophrenia spectrum. Biological Psychiatry: Cognitive Neuroscience and Neuroimaging, 5(10), pp.961-970., https://pubmed.ncbi.nlm.nih.gov/31451387/",CC0,TRUE,,This study was approved by the University of Pittsburgh Institutional Review Board. All subjects provided informed consent and were paid for participation.,Yes
Bay,ds003947,n/a,,FALSE,,,No,61,14 - 38,0.013 TB,267,1,0,healthy and First Episode Psychosis (FEP) individuals,".eeg, .vhdr",EEG,"EMG, EOG, MISC, ECG, behavioral",X,,,,X,X,,,,,X,,X,,,,,,MISC,61,10-20,,1,,,1,,,,1,continous,resting state,Resting State,clinical (First Episode Psychosis vs. Control Resting Task),Clinical/Intervention,rest,,v1.6.0,Pennsylvania,United States,Y,N,2022-01-24 19:04:37,Arnaud Delorme,,doi:10.18112/openneuro.ds003947.v1.0.1,"Phalen, H., Coffman, B.A., Ghuman, A., Sejdic, E. and Salisbury, D.F., 2020. Non-negative matrix factorization reveals resting-state cortical alpha network abnormalities in the first-episode schizophrenia spectrum. Biological Psychiatry: Cognitive Neuroscience and Neuroimaging, 5(10), pp.961-970., https://pubmed.ncbi.nlm.nih.gov/31451387/",CC0,TRUE,,This study was approved by the University of Pittsburgh Institutional Review Board. All subjects provided informed consent and were paid for participation.,Yes
Bay,ds003969,n/a,,FALSE,,,No,98,22 - 74,0.058 TB,1181,1,0,healthy meditators & control,.bdf,EEG,"EOG, behavioral",X,,,,X,X,,,,,,,,,,,,,,64,10-20,,,,,,,,,11,continous,meditation,Other,gamma power comparison ,Neuroimaging,mixed,,v1.2.1,Plymouth,United Kingdom,Y,Y,2022-01-03 18:38:28,Arnaud Delorme,,doi:10.18112/openneuro.ds003969.v1.0.0,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0170647,CC0,FALSE,,The project was approved by the local MRI Indian ethical committee and the ethical committee of the University of California San Diego (IRB project # 090731).,Yes
Bay,ds003987,n/a,,FALSE,,,No,23,18 - 35 ,0.027 TB,557,3,3,healthy human and C57BL/6 J mice ,".fdt, .set",EEG,"EOG, behavioral",X,,,,X,X,,,,,,,,,,,,,,64,10-20,,,,,,,,,71,continous,drug,Pharmaceutical,Amphetamine,Clinical/Intervention,5CCPTxPSTxAmphetamine,,1.1.1,New Mexico,United States,Y,Y,2022-02-01 20:21:02,James F Cavanagh,,doi:10.18112/openneuro.ds003987.v1.0.0,pending,CC0,TRUE,,All experimental procedures were performed in accordance with the National Institutes of Health Guide for Care and Use of Laboratory Animals and were approved by the University of New Mexico Health Sciences Center Institutional Animal Care and Use Committee. ,Yes
Bay,ds004000,n/a,,FALSE,,,No,43,,0.024 TB,392,1,1,patients with psychosis epoisodes (schizophrenia) and healthy controls,".eeg, .vhdr, .vmrk",EEG,"EOG, behavioral",X,,,,X,X,,,,,,,,,,,,,,128,10-20,,,,,4,,,,,continious,behavioral,Other,ultimatum game task,Decision-making,responder,,v1.6.0,Fribourg,Switzerland,Y,Y,2022-01-20 13:46:46,Anna Padée,,doi:10.18112/openneuro.ds004000.v1.0.0,,CC0,TRUE,,The project was approved by the Ethics Committee of the University of Fribourg (reference number: 054/13-CER-FR).,Yes
Bay,ds004010,n/a,,TRUE,,,No,24,,0.025 TB,102,1,0,healthy,.set,EEG,n/a,X,,,,,,,,,,,,,,,,,,,64,other,,,,,,,,,,continious,audio-visual ,Multisensory,attention ,Attention,MAVIS,,1.2.0,Berlin,Germany,Y,Y,2022-01-26 19:34:34,Arnaud Delorme,,doi:10.18112/openneuro.ds004010.v1.0.0,Waschke L ===NEMAR-SEP=== Donoghue T ===NEMAR-SEP=== Fiedler L ===NEMAR-SEP=== Smith S ===NEMAR-SEP=== Garrett DD ===NEMAR-SEP=== Voytek B ===NEMAR-SEP=== Obleser J. Modality-specific tracking of attention and sensory statistics in the human electrophysiological spectral exponent. Elife. 2021 Oct 21;10:e70068. doi: 10.7554/eLife.70068. PMID: 34672259; PMCID: PMC8585481. https://pubmed.ncbi.nlm.nih.gov/34672259/,CC0,FALSE,"Deutsche Forschungsgemeinschaft (Emmy Noether Programme), H2020 European Research Council (ERC-CoG-2014-646696), Max Planck UCL Centre for Computational Psychiatry and Ageing Research, Whitehall Foundation (2017-12-73), National Science Foundation (BCS-1736028), National Institute of General Medical Sciences (R01GM134363-01)","All experimental procedures were approved by the institutional review board of the University of California, San Diego, Human Research Protections Program. ",Yes
